Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime_flag,perf_rating_s,job_involve_s,job_sat_s,env_sat_s,rel_sat_s,Performance_Score,years_in_role_s,train_last_year_s,Efficiency_Score,worklife_s,Mentor_Feedback_Score,monthly_income_s,Engagement_Score,Composite_Score,Composite_Rank
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,1,0.0,33.333333333333336,66.66666666666667,66.66666666666667,33.333333333333336,26.67,11.11111111111111,66.66666666666667,33.33,66.66666666666667,55.0,5.365982095839915,28.81,32.57,1121
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,0,0.0,100.0,0.0,33.333333333333336,66.66666666666667,30.0,50.0,16.666666666666668,36.67,66.66666666666667,51.67,47.24065297525013,68.9,40.42,699
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,1,0.0,100.0,33.333333333333336,0.0,100.0,35.0,11.11111111111111,83.33333333333333,40.0,33.333333333333336,41.67,12.053712480252765,64.82,41.47,641
22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,1,0.0,100.0,100.0,100.0,33.333333333333336,48.33,0.0,33.333333333333336,13.33,33.333333333333336,63.33,10.14218009478673,64.06,45.94,412
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,0,0.0,33.333333333333336,100.0,0.0,66.66666666666667,28.33,44.44444444444444,50.0,46.67,66.66666666666667,36.67,75.92417061611374,47.04,36.06,952
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,1,0.0,66.66666666666667,100.0,100.0,66.66666666666667,45.0,11.11111111111111,50.0,26.67,66.66666666666667,81.67,15.45550289626119,49.52,47.51,357
24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,0,0.0,100.0,66.66666666666667,0.0,100.0,40.0,11.11111111111111,83.33333333333333,40.0,33.333333333333336,41.67,15.808320168509741,56.32,42.7,568
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3,0,100.0,33.333333333333336,0.0,66.66666666666667,33.333333333333336,61.67,16.666666666666668,66.66666666666667,36.67,66.66666666666667,55.0,12.627698788836229,21.72,49.67,282
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11,0,0.0,66.66666666666667,33.333333333333336,0.0,66.66666666666667,25.0,33.333333333333336,66.66666666666667,46.67,66.66666666666667,36.67,57.84623486045287,56.47,35.8,962
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0,0,0.0,66.66666666666667,100.0,66.66666666666667,100.0,45.0,0.0,100.0,40.0,66.66666666666667,78.33,1.1743022643496577,33.8,47.32,365
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3,0,0.0,66.66666666666667,0.0,33.333333333333336,66.66666666666667,23.33,11.11111111111111,33.333333333333336,20.0,66.66666666666667,51.67,10.273828330700368,37.44,29.03,1274
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8,0,0.0,66.66666666666667,66.66666666666667,66.66666666666667,100.0,40.0,72.22222222222223,50.0,63.33,33.333333333333336,71.67,95.23433385992628,71.43,54.13,193
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7,1,100.0,0.0,0.0,33.333333333333336,33.333333333333336,51.67,11.11111111111111,83.33333333333333,40.0,66.66666666666667,40.0,15.323854660347552,16.13,42.25,596
42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2,0,0.0,66.66666666666667,33.333333333333336,66.66666666666667,100.0,35.0,38.888888888888886,33.333333333333336,36.67,66.66666666666667,78.33,30.62664560294892,45.58,43.42,535
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17,0,0.0,33.333333333333336,100.0,0.0,100.0,31.67,33.333333333333336,66.66666666666667,46.67,66.66666666666667,48.33,48.65192206424434,36.13,37.84,864
46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1,0,0.0,66.66666666666667,0.0,33.333333333333336,100.0,26.67,11.11111111111111,33.333333333333336,20.0,33.333333333333336,56.67,94.46024223275408,71.12,36.5,928
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0,0,0.0,66.66666666666667,100.0,66.66666666666667,100.0,45.0,5.555555555555555,50.0,23.33,66.66666666666667,78.33,7.8304370721432335,36.47,44.39,487
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3,1,0.0,66.66666666666667,100.0,100.0,100.0,48.33,11.11111111111111,83.33333333333333,40.0,100.0,100.0,28.73091100579252,54.83,55.39,169
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8,0,0.0,33.333333333333336,66.66666666666667,100.0,0.0,26.67,0.0,83.33333333333333,33.33,66.66666666666667,58.33,6.303317535545023,19.19,31.63,1165
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0,0,0.0,66.66666666666667,100.0,100.0,66.66666666666667,45.0,0.0,100.0,40.0,100.0,88.33,5.671406003159557,35.6,49.09,296
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,1,0.0,66.66666666666667,100.0,33.333333333333336,0.0,31.67,0.0,33.333333333333336,13.33,33.333333333333336,21.67,6.7614533965244865,46.04,28.66,1292
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4,0,0.0,100.0,66.66666666666667,100.0,100.0,50.0,16.666666666666668,50.0,30.0,33.333333333333336,86.67,8.615060558188521,53.45,52.02,222
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2,1,0.0,33.333333333333336,66.66666666666667,0.0,66.66666666666667,23.33,11.11111111111111,33.333333333333336,20.0,66.66666666666667,36.67,8.815165876777252,30.19,25.7,1371
35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2,0,0.0,66.66666666666667,100.0,100.0,0.0,38.33,11.11111111111111,50.0,26.67,66.66666666666667,58.33,5.292259083728278,35.45,38.57,820
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0,1,0.0,33.333333333333336,0.0,33.333333333333336,100.0,20.0,5.555555555555555,50.0,23.33,100.0,70.0,12.690889942074776,31.74,29.93,1243
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3,0,0.0,100.0,0.0,66.66666666666667,0.0,26.67,16.666666666666668,50.0,30.0,66.66666666666667,43.33,22.99631384939442,59.2,34.71,1015
35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0,0,0.0,66.66666666666667,100.0,66.66666666666667,66.66666666666667,41.67,0.0,50.0,20.0,66.66666666666667,66.67,4.960505529225909,35.32,40.13,714
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0,0,0.0,66.66666666666667,0.0,100.0,100.0,33.33,0.0,100.0,40.0,66.66666666666667,93.33,7.014218009478673,36.14,44.09,500
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1,0,0.0,0.0,66.66666666666667,0.0,66.66666666666667,16.67,0.0,33.333333333333336,13.33,33.333333333333336,30.0,6.7614533965244865,2.7,15.91,1457
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7,0,0.0,66.66666666666667,66.66666666666667,100.0,100.0,43.33,44.44444444444444,0.0,26.67,66.66666666666667,93.33,40.63717746182201,49.59,48.44,317
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7,0,100.0,66.66666666666667,100.0,66.66666666666667,100.0,90.0,44.44444444444444,33.333333333333336,40.0,66.66666666666667,78.33,15.808320168509741,39.66,70.7,23
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8,0,0.0,66.66666666666667,66.66666666666667,33.333333333333336,100.0,36.67,83.33333333333333,0.0,50.0,66.66666666666667,63.33,97.60926803580833,72.38,48.69,308
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7,0,100.0,66.66666666666667,66.66666666666667,33.333333333333336,66.66666666666667,78.33,27.77777777777778,33.333333333333336,30.0,66.66666666666667,51.67,18.741442864665615,40.83,59.04,123
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0,0,100.0,66.66666666666667,33.333333333333336,33.333333333333336,0.0,66.67,0.0,16.666666666666668,6.67,66.66666666666667,28.33,10.600315955766193,37.57,44.55,473
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8,1,100.0,66.66666666666667,100.0,0.0,66.66666666666667,80.0,33.333333333333336,66.66666666666667,46.67,66.66666666666667,36.67,25.081621906266456,53.37,62.84,73
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1,0,0.0,100.0,100.0,100.0,100.0,55.0,0.0,33.333333333333336,13.33,66.66666666666667,93.33,6.6350710900473935,52.65,52.06,217
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0,1,0.0,33.333333333333336,66.66666666666667,0.0,100.0,26.67,0.0,33.333333333333336,13.33,66.66666666666667,48.33,23.022643496577146,35.88,28.63,1296
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2,1,0.0,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,36.67,11.11111111111111,50.0,26.67,33.333333333333336,60.0,12.806740389678778,48.46,39.94,725
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,1,100.0,66.66666666666667,0.0,33.333333333333336,66.66666666666667,68.33,16.666666666666668,33.333333333333336,23.33,33.333333333333336,45.0,23.40705634544497,52.7,53.49,202
35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3,1,0.0,33.333333333333336,0.0,66.66666666666667,66.66666666666667,20.0,0.0,50.0,20.0,66.66666666666667,66.67,46.73512374934176,45.36,30.8,1215
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0,1,0.0,33.333333333333336,100.0,66.66666666666667,66.66666666666667,35.0,11.11111111111111,33.333333333333336,20.0,33.333333333333336,60.0,16.57714586624539,33.3,35.49,974
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12,1,0.0,66.66666666666667,100.0,0.0,66.66666666666667,35.0,77.77777777777777,16.666666666666668,53.33,66.66666666666667,36.67,65.55555555555556,69.56,44.1,499
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8,0,100.0,66.66666666666667,0.0,33.333333333333336,100.0,71.67,44.44444444444444,50.0,46.67,33.333333333333336,56.67,42.443391258557135,50.31,61.21,95
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2,1,0.0,66.66666666666667,0.0,66.66666666666667,66.66666666666667,26.67,11.11111111111111,50.0,26.67,66.66666666666667,66.67,15.824117956819379,49.66,36.12,950
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7,0,100.0,66.66666666666667,100.0,100.0,100.0,93.33,38.888888888888886,50.0,43.33,33.333333333333336,86.67,25.83464981569247,43.67,74.88,3
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,0,0.0,33.333333333333336,66.66666666666667,0.0,66.66666666666667,23.33,27.77777777777778,33.333333333333336,30.0,100.0,43.33,26.24539231174302,27.16,28.24,1309
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,1,100.0,66.66666666666667,100.0,0.0,33.333333333333336,76.67,44.44444444444444,50.0,46.67,66.66666666666667,25.0,27.135334386519222,54.19,59.54,119
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9,0,0.0,66.66666666666667,100.0,100.0,100.0,48.33,16.666666666666668,33.333333333333336,23.33,66.66666666666667,93.33,7.356503422854134,36.28,48.27,324
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8,1,0.0,33.333333333333336,66.66666666666667,33.333333333333336,100.0,30.0,16.666666666666668,33.333333333333336,23.33,33.333333333333336,56.67,93.37019483938916,64.01,37.77,868
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9,0,0.0,66.66666666666667,0.0,0.0,100.0,23.33,88.88888888888889,50.0,73.33,33.333333333333336,41.67,34.90258030542391,47.29,39.68,743
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8,0,0.0,66.66666666666667,66.66666666666667,66.66666666666667,33.333333333333336,33.33,77.77777777777777,33.333333333333336,60.0,66.66666666666667,55.0,47.851500789889414,52.47,44.79,460
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,1,0.0,66.66666666666667,66.66666666666667,100.0,66.66666666666667,40.0,0.0,33.333333333333336,13.33,66.66666666666667,81.67,72.39073196419167,72.29,45.76,419
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3,0,0.0,33.333333333333336,33.333333333333336,33.333333333333336,66.66666666666667,21.67,27.77777777777778,50.0,36.67,66.66666666666667,51.67,28.90995260663507,28.23,30.15,1236
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0,0,0.0,66.66666666666667,0.0,33.333333333333336,66.66666666666667,23.33,0.0,33.333333333333336,13.33,66.66666666666667,51.67,45.892575039494474,51.69,29.84,1246
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2,0,0.0,66.66666666666667,0.0,33.333333333333336,100.0,26.67,11.11111111111111,33.333333333333336,20.0,33.333333333333336,56.67,6.240126382306477,35.83,31.21,1186
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0,1,0.0,33.333333333333336,66.66666666666667,100.0,0.0,26.67,0.0,0.0,0.0,33.333333333333336,51.67,12.527646129541864,31.68,25.83,1369
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3,0,0.0,33.333333333333336,66.66666666666667,0.0,100.0,26.67,16.666666666666668,33.333333333333336,23.33,33.333333333333336,41.67,23.507109004739338,26.07,28.16,1313
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4,0,100.0,66.66666666666667,33.333333333333336,66.66666666666667,100.0,80.0,22.22222222222222,50.0,33.33,66.66666666666667,78.33,8.920484465508162,36.9,63.95,65
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0,0,0.0,66.66666666666667,33.333333333333336,66.66666666666667,33.333333333333336,28.33,5.555555555555555,66.66666666666667,30.0,66.66666666666667,55.0,7.856766719325961,36.48,33.89,1052
